SKU;Product Name;Published;Featured;Short Description;Allow Customer Reviews;Regular Price;Sale Price;Category;
15175.;CRAZY CHIC- MAKE UP URSO ;yes;yes;Materiais: Maquiagem<br>Cor: Azul<br>Idade: >4;no;16201.080;;BRINQUEDOS > MENINA > Beleza;
15176.;CRAZY CHIC- MAKE UP GATO;yes;yes;Materiais: Maquiagem<br>Cor: Azul<br>Idade: >4;no;16201.080;;BRINQUEDOS > MENINA > Beleza;
15177.;CRAZY CHIC-MAKE UP COELHO;yes;yes;Materiais:Maquiagem<br>Cor: Azul<br>Idade: >4;no;17054.400;;BRINQUEDOS > MENINA > Beleza;
15178.;CRAZY CHIC- MAKE UP LEÃO;yes;yes;Materiais: Maquiagem<br>Cor: Azul<br>Idade: >4;no;17054.400;;BRINQUEDOS > MENINA > Beleza;
15234;CRAZY CHIC-CONJ.DE MAKE UP DE ARTISTA;yes;yes;Materiais: Maquiagem<br>Cor: Varias Cores<br>Idade: >4;no;53295.000;;BRINQUEDOS > MENINA > Beleza;
15240;CRAZY CHIC-ROMANTIC MAKE UP;yes;yes;Materiais: Maquiagem<br>Cor: Azul<br>Idade: >4;no;37791.000;;BRINQUEDOS > MENINA > Beleza;
408-H;CADEIRA  EXECUTIVA EM PELE PRETO;yes;yes;Materiais: Metal/Pele<br>Cor: Preto/Cromado<br>;no;516477.000;;Mobiliário > Escritório;
408-HH;CADEIRA EXECUTIVA EM PELE CASTANHO;yes;yes;Materias: Metal/Pele<br>Cor: Castanho/Cromado<br>;no;516477.000;;Mobiliário > Escritório > Cadeiras;
408-L;CADEIRA EXECUTIVA EM PELE PRETO;yes;yes;Materiais: Metal/Pele<br>Cor: Preto/Cromado<br>;no;476748.000;;Mobiliário > Escritório > Cadeiras;
408-LL;CADEIRA EXECUTIVA EM PELE CASTANHO;yes;yes;Materias: Metal/Pele<br>Cor: Castanho/Cromado;no;476748.000;;Mobiliário > Escritório > Cadeiras;
408V;CADEIRA DE VISITA EM PELE PRETO;yes;yes;Materiais: Metal/Pele<br>Cor: Preto/Cromado<br>;no;377425.500;;Mobiliário > Escritório > Cadeiras;
408-V;CADEIRA DE VISITA EM PELE CASTANHO;yes;yes;Materias: Metal/Pele<br>Cor: Castanho/Cromado<br>;no;377425.500;;Mobiliário > Escritório > Cadeiras;
522H;CADEIRA EXECUTIVA EM PELE PRETO;yes;yes;Materiais: Metal/Pele<br>Cor: Preto/Cromado<br>;no;357561.000;;Mobiliário > Escritório > Cadeiras;
522-H;CADEIRA EXECUTIVA EM PELE CASTANHO;yes;yes;Materiais: Metal/Pele<br>Cor: Castanho/Cromado<br>;no;357561.000;;Mobiliário > Escritório > Cadeiras;
522L;CADEIRA EXECUTIVA  EM PELE PRETO;yes;yes;Materiais: Metal/Pele<br>Cor: Preto/Cromado<br>;no;297967.500;;Mobiliário > Escritório > Cadeiras;
522-L;CADEIRA EXECUTIVA EM PELE CASTANHO;yes;yes;Materiais: Metal/Pele<br>Cor: Castanho/Cromado<br>;no;297967.500;;Mobiliário > Escritório > Cadeiras;
522V;CADEIRA DE VISITA EM PELE PRETO;yes;yes;Materiais: Metal/Pele<br>Cor: Preto/Cromado<br>;no;218983.090;;Mobiliário > Escritório;
522-V;CADEIRA DE VISITA EM PELE CASTANHO;yes;yes;Materias: Metal/Pele<br>Cor: Castanho/Cromado<br>;no;218893.100;;Mobiliário > Escritório > Cadeiras;
574L;Cadeiras Exec. C/Costa Med de Escrit. em pele PRET;yes;yes;;no;417154.500;;Mobiliário > Escritório;
574V;Cadeira de Visita em pele;yes;yes;;no;309886.200;;Mobiliário > Escritório;
67180.;FROZEN COLARES E BRINCOS;yes;yes;Materiais: Plástico/Metal<br>Cor: Azul<br>Idade: >4;no;17054.400;;BRINQUEDOS > MENINA > Beleza;
993 DT;Conj.de sofas de canto dir.em pele preto & branco;yes;yes;;no;3406762.370;;Mobiliário > Lar > Sofás;
993 EQ;Sofa com canto esquerdo em pele preto e branco;yes;yes;Materiais: Metal/Pele<br>Cor: Preto/Branco<br>Medidas: 230cmx190cm;no;3406762.370;;Mobiliário > Lar > Sofás;
A78 CHOCOLAT;Sofá de 1L Chocolate;yes;yes;Materiais: Pele<br>Cor: Castanho<br>;no;357561.000;;Mobiliário > Escritório > Sofás;
A78 CHOCOLATE;Sofá de 3L Chocolate;yes;yes;Materiais: Pele<br>Cor: Castanho/Prata<br>;no;1032954.000;;Mobiliário > Escritório > Sofás;
A78 CHOCOLATE (3+1+1);Conj.Sofás Escritório A78(3+1+1);yes;yes;Materiais: Pele<br>Cor: Castanho/Prata<br>;no;1581214.200;;Mobiliário > Escritório > Sofás;
A78 PRETO;SOFA DE ESCRITORIO 1 LUGAR;yes;yes;Materiais: Pele<br>Cor: Preto/Prata;no;357561.000;;Mobiliário > Escritório > Sofás;
A78 PRETO (3+1+1);Conj.Sofás Escritório A78 (3+1+1);yes;yes;Materiais: Pele<br>Cor: Preto/Prata<br>;no;1581214.200;;Mobiliário > Escritório > Sofás;
A78 PRETO.;SOFA DE ESCRITORIO 3 LUGAR;yes;yes;Materiais: Pele<br>Cor: Preto/Prata;no;1032954.000;;Mobiliário > Escritório > Sofás;
ALEX+2 BR;MESA DE CENTRO BRANCA;yes;yes;Materiais: Madeira<br>Cor: Branco<br>Medidas:120x60x44cm;no;516477.000;;Mobiliário > Lar > Mesas de Centro;
ALEX+2 PR;MESA DE CENTRO PRETA;yes;yes;Materiais: Madeira<br>Cor:Preto<br>Medidas:120x60x44cm;no;516477.000;;Mobiliário > Lar > Mesas de Centro;
BOSTON XL DTO; CONJUNTO DE SOFA PRETO/MARROM-DIREITO;yes;yes;Materiais: Tecido<br>Cor: Preto/Cinzento<br>Medidas: 245cmx330cmx245cm;no;3376965.000;;Mobiliário > Lar > Sofás;
BOSTON XL ESQUERDO; CONJUNTO DE SOFA PRETO/MARROM-ESQUERDO;yes;yes;Materiais: Tecido<br>Cor: Preto/Cinzento<br>Medidas: 245cmx330cmx245cm;no;3376965.000;;Mobiliário > Lar > Sofás;
BRONTE-1;Conj. de Sofás canto esq.em pele genuina, preta;yes;yes;Materiais: Metal/Pele<br>Cor: Preto/Prateado<br>Medidas: 210x250cm;no;1032954.000;;Mobiliário > Lar > Sofás;
D-087ARBUWP;CADEIRA C/RODAS,BRAÇOS E PALMATORIA;yes;yes;Materiais: Metal/Plástico/Tecido<br>Cor: Preto/Cinza<br>;no;198645.000;;Mobiliário > Escritório > Cadeiras;
DX6229B;Cadeira de Escritório director com rodas;yes;yes;;no;115214.100;;Mobiliário > Escritório > Cadeiras;
DX6229C;Cadeira de Escritório Visita Fixa;yes;yes;;no;99322.500;;Mobiliário > Escritório;
GLK-T01;MESA REUNIAO REDONDA 100X75;yes;yes;Materiais: Metal/Madeira<br>Cor: Castanho/Preto<br>Medidas: 100x75cm;no;270157.200;;Mobiliário > Escritório > Mesas de Reunião;
HX-002B;ARMÁRIO DE ESCRITÓRIO 90*43*182;yes;yes;Materiais: Metal<br>Cor: Cinza<br>Medidas: 90x43x182Cm;no;775510.080;;Mobiliário > Escritório > Armários de Escritório;
KB-C02412-HT;MESA DE REUNIÃO RECT.240*120*75 CM;yes;yes;;no;699230.400;;Mobiliário > Escritório > Mesas de Reunião;
KB-D01814-HT;SECRETARIA EXECUTIVA 180+EXT.LAT.MADEIRA;yes;yes;;no;460856.400;;Mobiliário > Escritório;
KB-F02L-HT;MESA DE CENTRO 120*60*42 CM;yes;yes;Materiais: Metal/Madeira<br>Cor: Preto/Castanho<br>Medidas:120X60X42CM;no;317832.000;;Mobiliário > Escritório > Mesas de Centro;
KB-F02S-HT;MESA DE CENTRO 60*60*20CM;yes;yes;Materiais: Metal/Madeira<br>Cor: Preto/Castanho<br>Medidas:60x60x20cm;no;260622.240;;Mobiliário > Escritório > Mesas de Centro;
KB-S01804-HT;ARMARIO 180*40*90CM,MAD.P2 PORT.CORRER;yes;yes;;no;381398.400;;Mobiliário > Escritório;
KB-S1004-HT;MODULO DE 3 GAVETAS COM RODAS;yes;yes;;no;114419.520;;Mobiliário > Escritório;
KYOTO+2 BR;MESA DE CENTRO BRANCA;yes;yes;Materiais: Madeira<br>Cor: Branco<br>Medidas: 60x60x44cm;no;337696.500;;Mobiliário > Lar > Mesas de Centro;
L-4B;ARQUIVADOR 4 GAVETAS 46,62,130;yes;yes;Materiais: Metal<br>Cor: Cinza<br>Medidas:46x62x130cm;no;337696.500;;Mobiliário > Escritório > Armários de Escritório;
LILA BR;MESA DE CENTRO BRANCA;yes;yes;Materiais: Madeira<br>Cor: Branco<br>Medidas: 130x70x43cm;no;417154.500;;Mobiliário > Lar > Mesas de Centro;
LILA PR;MESA DE CENTRO PRETA;yes;yes;Materiais: Madeira<br>Cor: Preto<br>Medidas: 130x70x43cm;no;417154.500;;Mobiliário > Lar > Mesas de Centro;
LILA SO;MESA DE CENTRO SONOMA(CASTANHO);yes;yes;Materiais: Madeira<br>Cor: Somona(Castanho)<br>Medidas: 130x70x43cm;no;417154.500;;Mobiliário > Lar > Mesas de Centro;
LILA WG;MESA DE CENTRO WENGUE;yes;yes;Materiais: Madeira<br>Cor: Wengue<br>Medidas: 130x70x43cm;no;313859.100;;Mobiliário > Lar > Mesas de Centro;
MAGMA BR;MESA DE CENTRO BRANCA;yes;yes;Materiais: Madeira<br>Cor: Branco<br>Medidas: 130x70x50cm;no;417154.500;;Mobiliário > Lar > Mesas de Centro;
MAGMA PR;MESA DE CENTRO PRETA;yes;yes;Materiais: Madeira<br>Cor: Preto<br>Medidas: 130x70x50cm;no;417154.500;;Mobiliário > Lar > Mesas de Centro;
