SKU;Product Name;Published;Featured;Short Description;Allow Customer Reviews;Regular Price;Sale Price;Category;
408-HH;CADEIRA EXECUTIVA EM PELE CASTANHO;yes;yes;Materias: Metal/Pele<br>Cor: Castanho/Cromado<br>;no;364.572;;Mobiliário > Escritório > Cadeiras;
408-LL;CADEIRA EXECUTIVA EM PELE CASTANHO;yes;yes;Materias: Metal/Pele<br>Cor: Castanho/Cromado
;no;336.528;;Mobiliário > Escritório > Cadeiras;
408-V;CADEIRA DE VISITA EM PELE CASTANHO;yes;yes;Materias: Metal/Pele<br>Cor: Castanho/Cromado<br>;no;266.418;;Mobiliário > Escritório > Cadeiras;
522-H;CADEIRA EXECUTIVA EM PELE CASTANHO;yes;yes;Materiais: Metal/Pele<br>Cor: Castanho/Cromado<br>;no;350.550;287451.0;Mobiliário > Escritório > Cadeiras;
522-L;CADEIRA EXECUTIVA EM PELE CASTANHO;yes;yes;Materias: Metal/Pele<br>Cor: Castanho/Cromado<br>;no;322.506;;Mobiliário > Escritório > Cadeiras;
522-V;CADEIRA DE VISITA EM PELE CASTANHO;yes;yes;Materias: Metal/Pele<br>Cor: Castanho/Cromado<br>;no;266.418;;Mobiliário > Escritório > Cadeiras;
993 DT;Conj.de sofas de canto dir.em pele preto & branco;yes;yes;;no;4189500.000;4189500.0;Mobiliário > Lar > Sofás;
993 EQ;Sofa com canto esquerdo em pele preto e branco;yes;yes;Materiais: Metal/Pele<br>Cor: Preto/Branco<br>Medidas: 230cmx190cm;no;4189500.000;3435390.0;Mobiliário > Lar > Sofás;
A78 CHOCOLAT;Sofá de 1L Chocolate;yes;yes;Materiais: Pele<br>Cor: Castanho<br>;no;307800.000;252396.0;Mobiliário > Escritório;
A78 CHOCOLATE;Sofá de 3L Chocolate;yes;yes;Materiais: Pele<br>Cor: Castanho/Prata<br>;no;889200.000;729144.0;Mobiliário > Escritório > Sofás;
A78 CHOCOLATE (3+1+1);Conj.Sofás Escritório A78(3+1+1);yes;yes;Materiais: Pele<br>Cor: Castanho/Prata<br>;no;1361160.000;1116151.2;Mobiliário > Escritório > Sofás;
A78 PRETO;SOFA DE ESCRITORIO 1 LUGAR;yes;yes;Materiais: Pele<br>Cor: Preto/Prata;no;307800.000;252396.0;Mobiliário > Escritório > Sofás;
A78 PRETO.;SOFA DE ESCRITORIO 3 LUGAR;yes;yes;Materiais: Pele<br>Cor: Preto/Prata;no;889200.000;729144.0;Mobiliário > Escritório;
ALEX+2 BR;MESA DE CENTRO BRANCA;yes;yes;Materiais: Madeira<br>Cor: Branco<br>Medidas:120x60x44cm;no;444600.000;364572.0;Mobiliário > Lar > Mesa de Centro;
ALEX+2 PR;MESA DE CENTRO PRETA;yes;yes;Materiais: Madeira<br>Cor:Preto<br>Medidas:120x60x44cm;no;444600.000;364572.0;Mobiliário > Lar > Mesa de Centro;
BOSTON XL DTO; CONJUNTO DE SOFA PRETO/MARROM-DIREITO;yes;yes;Materiais: Tecido<br>Cor: Preto/Cinzento<br>Medidas: 245cmx330cmx245cm;no;2907400.000;2383740.0;Mobiliário > Lar > Sofás;
BOSTON XL ESQUERDO; CONJUNTO DE SOFA PRETO/MARROM-ESQUERDO;yes;yes;Materiais: Tecido<br>Cor: Preto/Cinzento<br>Medidas: 245cmx330cmx245cm;no;2907400.000;2383740.0;Mobiliário > Lar > Sofás;
BRONTE-1;Conj. de Sofás canto esq.em pele genuina, preta;yes;yes;Materiais: Metal/Pele<br>Cor: Preto/Prateado<br>Medidas: 210x250cm;no;729.144;;Mobiliário > Lar > Sofás;
BRONTE-5;Conj. de Sofás de canto dir em pele castanho;yes;yes;Materias: Metal/Pele<br>Cor: Cinza/Castanho Claro<br>Medidas: 210cmx250cm;no;729.144;;Mobiliário > Lar > Sofás;
D-087ARBUWP;CADEIRA C/RODAS,BRAÇOS E PALMATORIA;yes;yes;Materiais: Metal/Plástico/Tecido<br>Cor: Preto/Cinza<br>;no;171.000;140.22;Mobiliário > Escritório > Cadeiras;
GLK-T01;MESA REUNIAO REDONDA 100X75;yes;yes;Materiais: Metal/Madeira<br>Cor: Castanho/Preto<br>Medidas: 100x75cm;no;290.700;190641.20000000001;Mobiliário > Escritório > Mesa de Reunião;
HX-002B;ARMÁRIO DE ESCRITÓRIO 90*43*182;yes;yes;Materiais: Metal<br>Cor: Cinza<br>Medidas: 90x43x182Cm;no;667584.000;547418.88;Mobiliário > Escritório > Armário de Esccritório;
KB-F02L-HT;MESA DE CENTRO 120*60*42 CM;yes;yes;Materiais: Metal/Madeira<br>Cor: Preto/Castanho<br>Medidas:120X60X42CM;no;342000.000;224352.0;Mobiliário > Escritório > Mesa de Centro;
KB-F02S-HT;MESA DE CENTRO 60*60*20CM;yes;yes;Materiais: Metal/Madeira<br>Cor: Preto/Castanho<br>Medidas:60x60x20cm;no;280440.000;183968.64000000001;Mobiliário > Escritório > Mesa de Centro;
KYOTO+2 BR;MESA DE CENTRO BRANCA;yes;yes;Materiais: Madeira<br>Cor: Branco<br>Medidas: 60x60x44cm;no;290700.000;238374.0;Mobiliário > Lar > Mesa de Centro;
L-4B;ARQUIVADOR 4 GAVETAS 46,62,130;yes;yes;Materiais: Metal<br>Cor: Cinza<br>Medidas:46x62x130cm;no;307800.000;252396.0;Mobiliário > Escritório > Armário de Esccritório;
LILA BR;MESA DE CENTRO BRANCA;yes;yes;Materiais: Madeira<br>Cor: Branco<br>Medidas: 130x70x43cm;no;359100.000;294462.0;Mobiliário > Lar > Mesa de Centro;
LILA PR;MESA DE CENTRO PRETA;yes;yes;Materiais: Madeira<br>Cor: Preto<br>Medidas: 130x70x43cm;no;359100.000;294462.0;Mobiliário > Lar > Mesa de Centro;
LILA SO;MESA DE CENTRO SONOMA(CASTANHO);yes;yes;Materiais: Madeira<br>Cor: Somona(Castanho)<br>Medidas: 130x70x43cm;no;359100.000;294462.0;Mobiliário > Lar > Mesa de Centro;
LILA WG;MESA DE CENTRO WENGUE;yes;yes;Materiais: Madeira<br>Cor: Wengue<br>Medidas: 130x70x43cm;no;270180.000;221547.60000000001;Mobiliário > Lar > Mesa de Centro;
MAGMA BR;MESA DE CENTRO BRANCA;yes;yes;Materiais: Madeira<br>Cor: Branco<br>Medidas: 130x70x50cm;no;359100.000;294462.0;Mobiliário > Lar > Mesa de Centro;
MAGMA PR;MESA DE CENTRO PRETA;yes;yes;Materiais: Madeira<br>Cor: Preto<br>Medidas: 130x70x50cm;no;359100.000;294462.0;Mobiliário > Lar > Mesa de Centro;
MASIV MINI BR;MESA DE CENTRO BRANCA;yes;yes;Materiais: Madeira<br>Cor:  Branco<br>Medidas: 100x70x60cm;no;324900.000;266418.0;Mobiliário > Lar > Mesa de Centro;
MASIV MINI PR;MESA DE CENTRO PRETA;yes;yes;Materiais: Madeira<br>Cor: Preto<br>Medidas: 100x70x60cm;no;324900.000;266418.0;Mobiliário > Lar > Mesa de Centro;
NF 316-2;CADEIRAS EM BATERIA 2 LUGARES;yes;yes;Materiais: Metal/PVC/Tecido<br>Cor: Cinza/Preto<br>Medidas: 95cm Larg;no;127043.880;104175.98;Mobiliário > Escritório > Cadeiras;
NF 316-3;CADEIRA EM BATERIA 3 LUGARES;yes;yes;Materiais: Metal/PVC/Tecido<br>Cor: Cinza/Preto<br>Medidas: 155cm Larg;no;190043.100;156255.84;Mobiliário > Escritório > Cadeiras;
NF 316-4;CADEIRA EM BATERIA 4 LUGARES;yes;yes;Materiais: Metal/PVC/Tecido<br>Cor: Cinza/Preto<br>Medidas: 200cm Larg;no;243504.000;199673.28;Mobiliário > Escritório > Cadeiras;
NF-316-2;CADEIRAS EM BATERIA 2 LUGARES PVC;yes;yes;Materiais: Metal/PVC<br>Cor: Cinza/Preto<br>Medidas: 95cm Larg;no;201780.000;165459.60000000001;Mobiliário > Escritório > Cadeiras;
NW-01A;ARMARIOM CACIFO 2 PORTAS 90X50X180;yes;yes;Materiais: Metal<br>Cor: Cinza<br>Medidas: 90x50x180cm;no;376200.000;308484.0;Mobiliário > Escritório > Armário de Esccritório;
NW-04A;ARMARIO 4 CACIFOS 90X50X180;yes;yes;Materiais: Metal<br>Cor: Cinza<br>Medidas:90x50x180cm;no;427500.000;350550.0;Mobiliário > Escritório > Armário de Esccritório;
OA-120A;SECRETARIA 120 CEREJEIRA;yes;yes;Materias: Metal/Madeira<br>Cor: Cinza/Cerejeira<br>Medidas: 120x20cm120x70x75cm;no;266.418;;Mobiliário > Escritório > Secretária;
OA-140A;SECRETARIA 140 CEREJEIRA;yes;yes;Materias: Metal/Madeira<br>Cor: Cinza/Cerejeira<br>Medidas: 140x20cm120x70x75cm;no;274.831;;Mobiliário > Escritório > Secretária;
OA-160A;SECRETARIA 160 CEREJEIRA;yes;yes;Materias: Metal/Madeira<br>Cor: Cinza/Cerejeira<br>Medidas: 160x20cm120x70x75cm;no;294.462;;Mobiliário > Escritório > Secretária;
PAMELA CD;Comoda 4 gav (Pamela=Samel);yes;yes;Materiais: Metal/Madeira<br>Cor: Pinho/Branco<br>;no;290.700;190699.20000000001;Mobiliário > Lar > Comoda;
PAMELA CM;Cama para colchão 200/180(Pamela=Samel);yes;yes;Materiais: Metal/Madeira<br>Cor: Pinho/Branco<br>Medidas: 200x180cm;no;307.800;201916.79999999999;Mobiliário > Lar > Camas;
PAMELA MC;Conj. de 2 Mesa de cabeceira (Pamela=Samel);yes;yes;Materiais: Metal/Madeira<br>Cor: Pinho<br>;no;188.100;123393.60000000001;Mobiliário > Lar > Mesa de Cabeceira;
PAMELA MD;Moldura(Pamela=Samel);yes;yes;Materiais: Vidrol/Madeira<br>Cor: Pinho<br>;no;102.000;67.305000000000007;Mobiliário > Lar > Espelho de Quarto;
PAMELA RP;Roupeiro(Pamela=Samel);yes;yes;Materiais: Metal/Madeira/Vidro<br>Cor: Pinho/Branco<br>Medidas: 224cmx206cmx54cm;no;581.400;381398.40000000002;Mobiliário > Lar > Roupeiros;
PORTO+2 BR;MESA DE CENTRO BRANCA;yes;yes;Materiais: Madeira<br>Cor: Branco<br>Medidas: 120X60X44CM;no;444600.000;364572.0;Mobiliário > Lar > Mesa de Centro;
PORTO+2 WG;MESA DE CENTRO WENGUE;yes;yes;Materiais: Madeira<br>Cor: Branco<br>Medidas: 120x60x44cm;no;444600.000;364572.0;Mobiliário > Lar > Mesa de Centro;
ROLLING BR;MESA DE CENTRO BRANCA;yes;yes;Materiais: Madeira<br>Cor: Branco<br>Medidas: 80x80x41cm;no;359100.000;294462.0;Mobiliário > Lar > Mesa de Centro;
SANTA-FÉ-3L+2L;Conj.Sofás Santa Fé (3+2) Lugares  Pele Gel Savage;yes;yes;Materias: Metal/Pele Gel Savage<br>Cor: Cinza/Branco<br>Medidas: 3L 2,26cmx93cm/ 2L 186cmx93cm;no;1299.600;852537.59999999998;Mobiliário > Lar > Sofás;
SC201-S;Sapateira de  br.c/espelho 740*235*210mm simple;yes;yes;Materias: Metal/Madeira/vidro<br>Cor: Branco<br>Medidas: 74x23.5x210cm;no;645.012;;Mobiliário > Lar > Sapateiras;
ST12;MESA DE REUNIAO REDONDA CASTANHA;yes;yes;Materiais: Metal/Madeira<br>Cor: Branco/Castanho<br>Medidas: 120cm Diametro 75cm de Alt.;no;420.660;;Mobiliário > Escritório > Mesa de Reunião;
ST12BR;MESA DE REUNIAO REDONDA BRANCA;yes;yes;Materias: Metal/Madeira<br>Cor: Branco<br>Medidas: 120cm Diametro 75cm Alt.;no;420.660;;Mobiliário > Escritório > Mesa de Reunião;
ST14S;MESA DE REUNIAO RETANGULAR E MODULO;yes;yes;Materiais: Metal/Madeira<br>Cor: Cinza/Castanho<br>Medidas: 420cmx110cm;no;1949400.000;1598508.0;Mobiliário > Escritório > Mesa de Reunião;
ST2810 SIMPLES;ARMARIO PERSIANA BX 100*42*72Cm;yes;yes;Materiais: Metal<br>Cor: Cinza<br>Medidas:100x42x72Cm;no;389800.000;319701.59999999998;Mobiliário > Escritório > Armário de Esccritório;
ST4010 SIMPLES;ARMARIOS PERSSIANA 1000X420X1020;yes;yes;Materiais: Metal<br>Cor: Cinza<br>Medidas:1000x420x1020;no;410400.000;336528.0;Mobiliário > Escritório > Armário de Esccritório;
ST5910;ARMÁRIO PERSSIANA 100*42*150;yes;yes;Materiais: Metal/Plástico<br>Cor: Cinza<br>Medidas:100x42x150Cm;no;461700.000;378954.0;Mobiliário > Escritório > Armário de Esccritório;
